station_id,station_name,province,district,rain_total,status,timestamp,data_time
Phường 8,Phường 8,Cà Mau,phường Bạc Liêu,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
An Xuyên,An Xuyên,Cà Mau,phường An Xuyên,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Nguyễn Phích,Nguyễn Phích,Cà Mau,xã Nguyễn Phích,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Ninh Thạnh Lợi,Ninh Thạnh Lợi,Cà Mau,xã Ninh Thạnh Lợi,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Châu Thới,Châu Thới,Cà Mau,xã Châu Thới,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tân Phong,Tân Phong,Cà Mau,xã Phong Thạnh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Khánh Bình,Khánh Bình,Cà Mau,xã Khánh Bình,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Định Thành,Định Thành,Cà Mau,xã Định Thành,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Ngã Tư Ninh Quới,Ngã Tư Ninh Quới,Cà Mau,xã Ninh Quới,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Điền Hải,Điền Hải,Cà Mau,xã Long Điền,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hàm Rồng,Hàm Rồng,Cà Mau,xã Năm Căn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Phó Sinh,Phó Sinh,Cà Mau,xã Phước Long,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Lâm Hải,Lâm Hải,Cà Mau,xã Đất Mới,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cái Cùng,Cái Cùng,Cà Mau,xã Vĩnh Hậu,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cầu số 2,Cầu số 2,Cà Mau,xã Vĩnh Mỹ,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tân Hưng,Tân Hưng,Cà Mau,xã Tân Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tân Tiến,Tân Tiến,Cà Mau,xã Tân Tiến,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Phong Thạnh Đông,Phong Thạnh Đông,Cà Mau,phường Láng Tròn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hiệp Thành,Hiệp Thành,Cà Mau,phường Hiệp Thành,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tân Thành,Tân Thành,Cà Mau,phường Tân Thành,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Phú Hưng,Phú Hưng,Cà Mau,xã Lương Thế Trân,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Biển Bạch,Biển Bạch,Cà Mau,xã Biển Bạch,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Ngọc Chánh,Ngọc Chánh,Cà Mau,xã Thanh Tùng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Khánh An,Khánh An,Cà Mau,xã Khánh An,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Lý Văn Lâm,Lý Văn Lâm,Cà Mau,phường Lý Văn Lâm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hưng Hội,Hưng Hội,Cà Mau,xã Hưng Hội,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tam Giang Đông,Tam Giang Đông,Cà Mau,xã Tam Giang,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Đất Mũi,Đất Mũi,Cà Mau,xã Đất Mũi,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Phú Thuận,Phú Thuận,Cà Mau,xã Phú Mỹ,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Chủ Chí,Chủ Chí,Cà Mau,xã Phong Hiệp,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Viên An,Viên An,Cà Mau,xã Đất Mũi,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Rạch Chèo,Rạch Chèo,Cà Mau,xã Nguyễn Việt Khái,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Trí Lực,Trí Lực,Cà Mau,xã Trí Phải,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Khánh Hội,Khánh Hội,Cà Mau,xã Khánh Lâm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hưng Phú,Hưng Phú,Cà Mau,xã Vĩnh Thanh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Ngan Dừa,Ngan Dừa,Cà Mau,xã Hồng Dân,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Viên An Đông,Viên An Đông,Cà Mau,xã Phan Ngọc Hiển,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
